                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0796,                 1.1082,                 1.4893,                0.67413,                0.58333,                0.66242,                  0.505,                 0.9135,                 1.3301,                 1.3765,               0.006634,               0.006634,               0.006634
                     36,                0.98941,                 0.9788,                 1.3013,                0.59074,                0.70833,                0.60495,                0.47155,                0.79024,                 1.4999,                 1.2818,               0.006535,               0.006535,               0.006535
                     37,                0.89792,                0.88141,                 1.3236,                0.59083,                0.70532,                0.55614,                0.42616,                0.85907,                  1.751,                 1.3559,               0.006436,               0.006436,               0.006436
                     38,                0.99161,                0.99403,                 1.4192,                0.75568,                0.70833,                0.76732,                0.56262,                0.80068,                 1.4278,                 1.3315,               0.006337,               0.006337,               0.006337
                     39,                 1.0309,                 1.1867,                 1.3912,                0.73019,                0.69536,                 0.7699,                0.58851,                0.75257,                 1.8308,                 1.3169,               0.006238,               0.006238,               0.006238
                     40,                0.98324,                  1.081,                  1.392,                0.63581,                0.83333,                0.80302,                 0.6159,                0.75998,                 1.8676,                 1.3177,               0.006139,               0.006139,               0.006139
                     41,                  1.068,                 1.0053,                 1.4387,                0.66156,                0.81349,                0.79308,                 0.5925,                0.82208,                 1.7676,                 1.3452,                0.00604,                0.00604,                0.00604
                     42,                0.96077,                 1.1544,                 1.3319,                0.61158,                0.73423,                0.74037,                0.53942,                0.77768,                 1.5242,                   1.33,               0.005941,               0.005941,               0.005941
                     43,                 1.0034,                 1.0604,                 1.4815,                0.62839,                0.81861,                0.80152,                0.60038,                0.76473,                  1.272,                 1.3252,               0.005842,               0.005842,               0.005842
                     44,                0.94722,                 1.0977,                 1.3452,                0.80954,                0.75394,                 0.8562,                0.67322,                0.74017,                  1.035,                 1.2872,               0.005743,               0.005743,               0.005743
                     45,                0.96512,                 1.0124,                  1.368,                0.77182,                  0.875,                0.85795,                0.68979,                0.79024,                 1.0329,                  1.334,               0.005644,               0.005644,               0.005644
                     46,                 1.0028,                 1.0638,                 1.3726,                0.76866,                  0.875,                0.82381,                0.67886,                0.79688,                 1.2986,                 1.3359,               0.005545,               0.005545,               0.005545
                     47,                0.96853,                 1.0241,                 1.3652,                0.76466,                0.83333,                0.78898,                0.62895,                0.81064,                  1.317,                 1.3247,               0.005446,               0.005446,               0.005446
                     48,                0.98997,                 0.9357,                 1.3707,                0.74899,                0.79167,                0.77996,                0.63711,                0.84731,                 1.1882,                 1.3334,               0.005347,               0.005347,               0.005347
                     49,                0.92927,                0.91484,                 1.3239,                0.74695,                0.78997,                0.82987,                 0.6828,                 0.7324,                 1.0565,                   1.24,               0.005248,               0.005248,               0.005248
                     50,                0.94986,                0.95385,                 1.3869,                0.74164,                0.93252,                0.88622,                 0.7027,                0.75234,                0.95911,                 1.2572,               0.005149,               0.005149,               0.005149
                     51,                0.82057,                0.87526,                  1.239,                0.80537,                0.94054,                 0.9345,                0.73957,                 0.7347,                0.93803,                 1.2716,                0.00505,                0.00505,                0.00505
                     52,                0.89305,                0.89957,                 1.2869,                  0.877,                0.86282,                 0.9394,                0.71999,                0.82995,                 1.0093,                 1.3378,               0.004951,               0.004951,               0.004951
                     53,                0.82055,                0.86561,                 1.2696,                0.92806,                0.91667,                0.91253,                0.72955,                0.85781,                 1.0433,                 1.3985,               0.004852,               0.004852,               0.004852
