                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.60081,                0.77212,                 1.0882,                0.85969,                0.81011,                0.88008,                0.68911,                0.85447,                 1.2807,                 1.2164,              0.0053329,              0.0053329,              0.0053329
                     35,                0.61077,                0.78201,                 1.0926,                 0.7861,                0.95238,                0.89298,                0.76269,                0.74715,                 1.1875,                 1.1694,              0.0051914,              0.0051914,              0.0051914
                     36,                0.56362,                0.69259,                  1.065,                 0.8519,                0.84416,                0.93196,                0.79325,                0.75667,                 1.3893,                 1.2216,                0.00505,                0.00505,                0.00505
                     37,                0.55153,                 0.6828,                 1.0401,                0.72978,                0.87798,                0.83177,                0.65899,                  1.243,                 1.1424,                 1.4955,              0.0049086,              0.0049086,              0.0049086
                     38,                 0.6127,                0.74298,                 1.1064,                0.75196,                0.83072,                0.83141,                0.67537,                 1.0262,                 0.9529,                 1.3581,              0.0047671,              0.0047671,              0.0047671
                     39,                0.59394,                0.70822,                 1.0743,                0.67188,                0.92492,                0.80282,                0.65875,                0.77606,                 1.0151,                 1.2091,              0.0046257,              0.0046257,              0.0046257
                     40,                0.55873,                0.68803,                 1.0555,                0.76551,                0.83416,                0.86862,                0.69407,                0.72587,                0.90845,                 1.2359,              0.0044843,              0.0044843,              0.0044843
                     41,                0.53309,                0.65345,                 1.0356,                  0.805,                0.81385,                0.85239,                0.74458,                0.71298,                0.76192,                  1.227,              0.0043429,              0.0043429,              0.0043429
                     42,                 0.5506,                0.63102,                  1.038,                0.76822,                0.89177,                0.87051,                 0.7031,                0.67582,                0.72092,                 1.1569,              0.0042014,              0.0042014,              0.0042014
                     43,                0.58418,                0.69907,                 1.0653,                0.85931,                0.90798,                0.91339,                0.74278,                0.72626,                0.68369,                 1.1876,                0.00406,                0.00406,                0.00406
                     44,                0.53346,                0.63299,                 1.0245,                0.93869,                0.91626,                0.95963,                0.77311,                0.68713,                0.67287,                   1.23,              0.0039186,              0.0039186,              0.0039186
                     45,                 0.5223,                0.67176,                 1.0556,                0.90837,                 0.9092,                0.97623,                0.76996,                0.54739,                0.61544,                 1.1049,              0.0037771,              0.0037771,              0.0037771
                     46,                0.53336,                0.65484,                 1.0434,                 0.9383,                0.84456,                0.95457,                0.81079,                0.44735,                0.79365,                  1.041,              0.0036357,              0.0036357,              0.0036357
                     47,                0.50612,                0.59493,                 1.0184,                0.85252,                0.88827,                0.92649,                0.77344,                0.46704,                0.91044,                 1.0455,              0.0034943,              0.0034943,              0.0034943
                     48,                0.50516,                0.63459,                 1.0146,                0.88428,                0.86614,                0.95451,                0.79999,                0.47957,                 1.0392,                 1.0639,              0.0033529,              0.0033529,              0.0033529
                     49,                 0.5544,                0.62657,                 1.0987,                0.94921,                0.91459,                 0.9788,                 0.8428,                0.47482,                0.88451,                 1.0239,              0.0032114,              0.0032114,              0.0032114
                     50,                0.49623,                0.58913,                0.99178,                0.90987,                0.87917,                0.96863,                0.79381,                0.67896,                 1.1629,                 1.1537,                0.00307,                0.00307,                0.00307
                     51,                0.48841,                0.56413,                 1.0374,                0.93268,                0.85832,                0.93631,                0.74884,                0.54478,                0.92082,                 1.1036,              0.0029286,              0.0029286,              0.0029286
                     52,                0.52523,                0.59868,                 1.0216,                0.86492,                0.88092,                0.88983,                0.72833,                 0.6678,                0.94357,                 1.1844,              0.0027871,              0.0027871,              0.0027871
                     53,                0.49462,                0.59129,                 1.0105,                0.86509,                0.80448,                0.87728,                0.76766,                0.58271,                0.83117,                 1.1159,              0.0026457,              0.0026457,              0.0026457
                     54,                0.47981,                0.54965,                  1.019,                0.95263,                0.86066,                0.90975,                0.82115,                0.47957,                0.83104,                 1.0518,              0.0025043,              0.0025043,              0.0025043
                     55,                0.46475,                0.49355,                0.98597,                0.89857,                 0.8244,                0.92239,                0.81409,                0.81399,                0.80189,                 1.2131,              0.0023629,              0.0023629,              0.0023629
                     56,                0.47033,                0.53568,                0.98874,                0.89465,                0.86622,                0.93357,                0.82171,                0.91143,                0.75458,                 1.3214,              0.0022214,              0.0022214,              0.0022214
                     57,                 0.4058,                0.46752,                0.96135,                0.93081,                0.90046,                0.96108,                0.87353,                0.84573,                0.67229,                  1.318,                0.00208,                0.00208,                0.00208
                     58,                0.41482,                0.46492,                0.94283,                0.90206,                 0.9697,                0.96583,                0.86766,                0.74051,                0.57212,                 1.1693,              0.0019386,              0.0019386,              0.0019386
                     59,                0.50081,                0.54165,                 1.0222,                0.88145,                0.96822,                0.94222,                0.88852,                0.85171,                0.48739,                 1.2898,              0.0017971,              0.0017971,              0.0017971
                     60,                0.31688,                0.42044,                0.95568,                0.86185,                0.89593,                  0.925,                  0.833,                0.88336,                0.54219,                 1.3377,              0.0016557,              0.0016557,              0.0016557
                     61,                0.31604,                0.35477,                 0.9668,                0.85913,                0.97969,                0.93212,                0.80962,                0.56358,                0.60904,                 1.0595,              0.0015143,              0.0015143,              0.0015143
