                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95646,                 1.1142,                 1.2891,                0.54474,                  0.625,                0.61885,                0.41318,                 1.0709,                  1.808,                 1.7281,               0.006634,               0.006634,               0.006634
                     36,                 0.9052,                 1.0785,                 1.3257,                0.30591,                0.70833,                0.55746,                0.38879,                0.91979,                  1.858,                  1.584,               0.006535,               0.006535,               0.006535
                     37,                0.91694,                 1.0619,                 1.3064,                0.62365,                0.78758,                0.81035,                0.58341,                0.89184,                 1.2958,                 1.4645,               0.006436,               0.006436,               0.006436
                     38,                 1.0196,                 1.1581,                 1.4494,                0.75429,                0.74007,                0.76156,                0.56827,                0.86548,                 1.3997,                 1.4127,               0.006337,               0.006337,               0.006337
                     39,                 0.9383,                 1.0296,                 1.3127,                0.64481,                0.46494,                0.60138,                0.42916,                0.92848,                  1.738,                 1.4037,               0.006238,               0.006238,               0.006238
                     40,                0.99523,                 1.0272,                 1.3043,                0.60732,                0.65819,                0.67996,                0.40794,                 1.2141,                 1.5297,                 1.6819,               0.006139,               0.006139,               0.006139
                     41,                 1.0008,                 1.0836,                 1.3345,                0.73496,                0.73086,                0.81957,                0.61959,                0.80521,                 1.3031,                 1.3389,                0.00604,                0.00604,                0.00604
                     42,                 1.0434,                 1.2133,                 1.4573,                0.74065,                   0.75,                 0.7959,                0.60149,                0.82894,                 1.3229,                 1.4036,               0.005941,               0.005941,               0.005941
                     43,                 1.0493,                 1.2979,                 1.4826,                0.91462,                0.65638,                0.76243,                0.60564,                0.82807,                0.99139,                 1.4074,               0.005842,               0.005842,               0.005842
                     44,                0.81853,                 1.5186,                 1.1529,                0.73581,                0.81221,                 0.7909,                0.62988,                 0.8461,                0.98879,                 1.4028,               0.005743,               0.005743,               0.005743
                     45,                 1.0432,                 1.0205,                 1.4693,                0.93503,                0.78085,                 0.8698,                0.64709,                0.94091,                0.88137,                   1.46,               0.005644,               0.005644,               0.005644
                     46,                0.97959,                 1.1024,                 1.3634,                0.84476,                0.72507,                0.86415,                0.66909,                0.87294,                0.92634,                 1.4074,               0.005545,               0.005545,               0.005545
                     47,                 1.0572,                 1.0992,                 1.4759,                 0.9456,                0.65573,                0.77661,                0.60445,                0.84462,                 1.3883,                 1.4119,               0.005446,               0.005446,               0.005446
                     48,                0.84858,                 1.6764,                 1.2269,                 0.8285,                0.73138,                0.76791,                 0.5716,                0.98727,                 1.3775,                 1.6565,               0.005347,               0.005347,               0.005347
                     49,                0.92135,                 1.0226,                 1.3177,                0.85897,                   0.75,                0.80354,                0.61391,                0.95486,                0.98757,                 1.5948,               0.005248,               0.005248,               0.005248
                     50,                 1.1717,                 1.4573,                 1.5783,                0.84372,                0.79607,                0.86088,                0.62958,                0.88192,                0.94852,                 1.5201,               0.005149,               0.005149,               0.005149
                     51,                 1.0319,                 1.0312,                 1.3823,                0.98463,                 0.7874,                0.89776,                0.72184,                0.71676,                 0.9199,                 1.2994,                0.00505,                0.00505,                0.00505
                     52,                0.94634,                0.93288,                 1.3412,                0.79378,                0.87274,                0.89954,                0.71299,                0.70242,                0.85204,                 1.2794,               0.004951,               0.004951,               0.004951
                     53,                0.82553,                 0.8999,                  1.306,                0.94731,                0.72077,                0.89714,                0.72139,                0.65969,                0.71114,                  1.175,               0.004852,               0.004852,               0.004852
                     54,                0.92878,                0.85477,                 1.3123,                0.96009,                0.75624,                0.89377,                0.68209,                0.74339,                0.79207,                 1.2356,               0.004753,               0.004753,               0.004753
                     55,                0.85016,                0.93263,                 1.3118,                0.83587,                0.87603,                0.94276,                0.71468,                0.82182,                 0.8617,                 1.3422,               0.004654,               0.004654,               0.004654
                     56,                0.86191,                0.89807,                  1.317,                0.86582,                0.80163,                0.92395,                0.72006,                 0.8028,                0.93428,                 1.3174,               0.004555,               0.004555,               0.004555
                     57,                0.86494,                0.95225,                  1.304,                0.86857,                0.69128,                 0.8711,                0.72372,                0.73604,                0.87434,                 1.2733,               0.004456,               0.004456,               0.004456
                     58,                0.87759,                0.95959,                  1.258,                0.80329,                0.79359,                0.88685,                0.72254,                0.69374,                0.81928,                  1.239,               0.004357,               0.004357,               0.004357
                     59,                0.87272,                0.89875,                 1.3155,                0.83585,                   0.75,                0.83149,                0.65855,                0.70177,                 0.9416,                 1.2333,               0.004258,               0.004258,               0.004258
                     60,                0.96282,                 1.3191,                 1.4802,                0.65979,                0.85473,                0.84082,                0.68204,                0.68091,                 1.0266,                 1.2116,               0.004159,               0.004159,               0.004159
                     61,                0.82475,                0.81796,                  1.267,                0.84914,                0.66208,                0.80827,                0.62545,                0.79394,                0.96628,                 1.2858,                0.00406,                0.00406,                0.00406
                     62,                0.82491,                 1.0694,                 1.2767,                0.90829,                0.62091,                0.80258,                0.64137,                0.77584,                0.98246,                 1.2899,               0.003961,               0.003961,               0.003961
                     63,                0.92513,                 1.0999,                 1.3085,                0.69195,                0.70234,                 0.7864,                0.62854,                0.83589,                0.88441,                 1.3877,               0.003862,               0.003862,               0.003862
                     64,                 0.7952,                 1.0448,                 1.2643,                0.66894,                   0.75,                0.83667,                0.65066,                0.82662,                0.79753,                 1.3993,               0.003763,               0.003763,               0.003763
